"","pathway","pval","padj","log2err","ES","NES","size"
"485","GO_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY",0.634560906515581,0.830756380925245,0.0850427463764322,0.22478674626889,0.900207867311881,42
"486","GO_REGULATION_OF_VASCULAR_WOUND_HEALING",0.635231316725979,0.830799279814426,0.0613026075396207,-0.362203513334009,-0.867962852364674,8
"487","GO_CD4_RECEPTOR_BINDING",0.641860465116279,0.833939134021392,0.0739901439101341,0.338071375286211,0.865249645603132,9
"488","GO_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_DIFFERENTIATION",0.642348754448399,0.833939134021392,0.0607719451853533,-0.358374600010523,-0.858787473310177,8
"489","GO_MYELOID_LEUKOCYTE_MIGRATION",0.645283018867924,0.835844051849257,0.100633389423036,0.182248788796772,0.934594046223725,169
"490","GO_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT",0.651771956856703,0.84032202886164,0.053347785067549,-0.242322246943212,-0.888926917692761,42
"491","GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS",0.651685393258427,0.84032202886164,0.0437125833579551,-0.18879123180527,-0.929302977646517,297
"492","GO_POSITIVE_REGULATION_OF_IMMUNOGLOBULIN_PRODUCTION",0.651428571428571,0.84032202886164,0.0840745577910723,0.231971148232529,0.901862837814546,38
"493","GO_OXYGEN_TRANSPORT",0.656934306569343,0.843689582200202,0.0609039347452418,-0.396274809904286,-0.860509500432911,6
"494","GO_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_ACTIVATION",0.657766990291262,0.844223544085924,0.0749278818393739,0.272611517839649,0.865132918103999,17
"495","GO_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_PROLIFERATION",0.66079295154185,0.845844432651722,0.0697792517076235,0.377263308950771,0.83845034670413,6
