"","pathway","pval","padj","ES","NES","nMoreExtreme","size"
"83","GO_GROWTH_PLATE_CARTILAGE_MORPHOGENESIS",0.00295836106796835,0.0242975185985647,-0.655372141694825,-1.8454095408896,79,14
"84","GO_INTEGRIN_BINDING",0.00301185097885157,0.0246961881002135,-0.350822086430679,-1.58336423331255,91,115
"85","GO_MOLECULAR_FUNCTION_REGULATOR",0.00307407045964673,0.0251035627433031,-0.219215729189796,-1.25052750293508,125,1301
"86","GO_REGULATION_OF_SIGNALING_RECEPTOR_ACTIVITY",0.00309351246243592,0.0252207196590262,-0.278712529823345,-1.43471314332335,104,321
"87","GO_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS",0.00325145785474465,0.0261032163576001,-0.490954348916129,-1.76651638873956,91,36
"88","GO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_SIGNALING_PATHWAY",0.00329752154026167,0.0263669610979738,-0.49671942840687,-1.76212758584293,92,34
"89","GO_AORTA_MORPHOGENESIS",0.00341603739661992,0.0270759628124465,-0.532303090398079,-1.76939656647008,94,26
"90","GO_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION",0.00348640302819006,0.027502621200244,-0.357128992716928,-1.58297908196588,104,104
"91","GO_SIGNALING_RECEPTOR_BINDING",0.00355809902960936,0.0278889472683979,-0.222281246138823,-1.25890256761734,142,1127
"92","GO_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION",0.00379104285806079,0.0294403242650495,-0.327735419104658,-1.52903961569468,117,144
"93","GO_MESENCHYMAL_CELL_PROLIFERATION",0.00384941375900551,0.0296627798464216,-0.471494506055212,-1.73490220978676,108,40
"94","GO_BONE_MORPHOGENESIS",0.00396732004169048,0.0303370779279918,-0.367644360219292,-1.59038165347061,117,90
"95","GO_TAXIS",0.00468985539612529,0.0345898499615183,-0.250202913359852,-1.34025120879529,167,493
"96","GO_GLYCOSAMINOGLYCAN_BINDING",0.0071878379237962,0.0475330912137589,-0.30982124881016,-1.46785430912856,225,161
"97","GO_PLATELET_DERIVED_GROWTH_FACTOR_BINDING",0.00747782955057869,0.0489273780155163,-0.691156656368001,-1.75810114423421,198,10
"98","GO_MHC_CLASS_I_PROTEIN_COMPLEX",0.00792910447761194,0.0512796717965584,0.726144202239359,1.77347584282715,186,8
"99","GO_COLLAGEN_FIBRIL_ORGANIZATION",0.00805692162812598,0.051971571381428,-0.427509355577494,-1.63829759382486,230,48
"100","GO_MONONUCLEAR_CELL_MIGRATION",0.0084005376344086,0.0537365160601048,0.372331441158727,1.57306761451019,174,61
"101","GO_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN",0.00850633513770745,0.0542741165851552,0.250973520064936,1.34616269137127,142,266
"102","GO_LEUKOCYTE_CHEMOTAXIS",0.00896715643906655,0.0562434029575394,0.278684171429951,1.40209463116013,165,164
"103","GO_CELLULAR_RESPONSE_TO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_STIMULUS",0.00947240118405015,0.0587477261750382,-0.413992798883038,-1.60581038775061,271,51
"104","GO_DNA_BINDING_TRANSCRIPTION_REPRESSOR_ACTIVITY_RNA_POLYMERASE_II_SPECIFIC",0.00982577303406059,0.0604077311957687,-0.292967949667703,-1.41970108248694,312,191
"105","GO_POSITIVE_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS",0.00998938856160123,0.0610061863257152,-0.545120155427342,-1.69240664985644,272,20
"106","GO_MYELOID_LEUKOCYTE_MIGRATION",0.0108087961237421,0.0643102181126342,0.283196396620336,1.40816777034212,202,151
"107","GO_COLLAGEN_BINDING",0.0109965635738832,0.0650858291244247,-0.390941969966828,-1.56840924428348,319,60
"108","GO_REGULATION_OF_DEVELOPMENT_HETEROCHRONIC",0.0111287758346582,0.0656735979030479,-0.719502445398493,-1.70381304006157,293,8
"109","GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY",0.0119666048237477,0.069025866783918,-0.282429513284324,-1.3908812514504,386,217
"110","GO_RECEPTOR_COMPLEX",0.0130381597398335,0.0732176680043887,-0.265680667992378,-1.35300809229472,436,290
"111","GO_RESPONSE_TO_BACTERIUM",0.0133785942492013,0.0744174983348827,0.224063870501977,1.25988595772605,200,416
"112","GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY",0.0144087500409339,0.0786569565965426,-0.322112822062058,-1.45697513622902,439,117
"113","GO_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION",0.0150119092390623,0.0809313032396557,-0.284324645272845,-1.38235271429998,478,196
"114","GO_ENDOCHONDRAL_BONE_MORPHOGENESIS",0.0160481099656357,0.0849120304067227,-0.382323936428944,-1.53383479460362,466,60
"115","GO_MOLECULAR_TRANSDUCER_ACTIVITY",0.0164933762600939,0.0867162285034128,-0.224268259882402,-1.23751602619973,624,732
"116","GO_RESPONSE_TO_BIOTIC_STIMULUS",0.0167377484509536,0.0875398279832629,0.203961763082664,1.19963661370511,207,703
"117","GO_BUD_ELONGATION_INVOLVED_IN_LUNG_BRANCHING",0.0170953216820575,0.0889438034751054,-0.756362464881769,-1.6318362320471,447,6
"118","GO_TRANSMEMBRANE_SIGNALING_RECEPTOR_ACTIVITY",0.0177936930934932,0.091022977732834,-0.235685312968492,-1.26671861618456,640,512
"119","GO_MONOCYTE_CHEMOTAXIS",0.0199389341228719,0.0986942392495194,0.397369924252293,1.53916938894032,430,41
"120","GO_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT",0.0202142363510712,0.0995139089736366,-0.382249195949197,-1.51211264992341,584,56
"121","GO_DEFENSE_RESPONSE_TO_BACTERIUM",0.0206660187221853,0.101041744649038,0.289825539465749,1.39282960110373,403,121
"122","GO_REGULATION_OF_KIDNEY_DEVELOPMENT",0.0217353198948291,0.105034749264164,-0.410349900167329,-1.5353199100016,619,43
"123","GO_GROWTH_FACTOR_ACTIVITY",0.0218781218781219,0.105571459488287,-0.324671003985053,-1.42810431521446,656,99
"124","GO_SPINAL_CORD_PATTERNING",0.0226756525300666,0.107958175857603,-0.605253386426868,-1.62786321087331,608,12
"125","GO_DIENCEPHALON_DEVELOPMENT",0.0227080096058765,0.108020577126209,-0.418801223538705,-1.54101301043286,642,40
"126","GO_POSITIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT",0.0246968872964586,0.115002444391675,-0.291958393173891,-1.37314903550743,771,153
"127","GO_EMBRYONIC_ORGAN_MORPHOGENESIS",0.0254255681994357,0.117237002254121,-0.270641043962905,-1.33078446899548,819,214
"128","GO_LEUKOCYTE_MEDIATED_CYTOTOXICITY",0.0267437304075235,0.121032057023436,0.317783152696606,1.41739400827989,545,80
"129","GO_CCR1_CHEMOKINE_RECEPTOR_BINDING",0.0268697374938088,0.121437097124419,0.863243425565364,1.50853703176523,650,3
"130","GO_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION",0.0277314160996277,0.123874724294921,0.221309266083379,1.22864133155267,431,364
"131","GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE",0.0284014536765072,0.126019611488602,-0.207822423188601,-1.17681726376821,1140,1123
"132","GO_POSITIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS",0.0309831399167944,0.133210147880091,0.256137605544856,1.30001232127866,565,175
"133","GO_G_PROTEIN_COUPLED_RECEPTOR_BINDING",0.0325915652776902,0.13821981721465,-0.277261795825197,-1.33061342538698,1033,176
