"","Estimate","Std. Error","t value","Pr(>|t|)","PAdj"
"MGAT4B",-0.000471285571739935,0.000751935008486269,-0.626763704869502,0.530892660043847,0.786159859312691
"AI700504",0.0001076859699587,0.000248692067700441,0.433009267060385,0.665059289600944,0.862810241654465
"FAM108A6",-0.000399781426899502,0.000543925032187559,-0.734993617211659,0.462437971014146,0.742435253637404
"RFX4",-0.000142771100227355,0.0003095977166403,-0.461150365631509,0.644745771618301,0.851230696364239
"AI627656",0.000816071594918039,0.000230370495664838,3.54243104162665,0.000406435799209266,0.0221072043641326
"BC038750",0.000159332902626861,0.000232508670815066,0.68527725038518,0.493256157364358,0.76349272963569
"D19756",0.000592207867574102,0.000233138683186194,2.54015275148973,0.0111628216900673,0.120592938863942
"HABP2",0.000272552565708945,0.000514351727021348,0.529895305858734,0.596249084731205,0.82431622017077
"NDUFA4L2",0.0019511970568211,0.00141533657313265,1.37860993198416,0.168184289268993,0.463925148393347
"PTF1A",-0.000203053273544824,0.000242028175814188,-0.838965433928294,0.401598763608447,0.695716338844577
"EEF1A1",-0.00151841066882698,0.0013105186996161,-1.15863334820921,0.246757505857097,0.559150283379694
"FLJ25758",-3.36153887821119e-05,0.000235681400266908,-0.142630639261489,0.886597668655086,0.959945820138575
"KIAA1614",0.000411821322914778,0.000248716562960526,1.65578567833513,0.0979374316845066,0.356733013673684
"CENPL",0.000979940120552782,0.000792823294214075,1.23601328026593,0.216612950571568,0.525634771910771
"FAH",-0.00351529583674214,0.00135335301330959,-2.59747146692021,0.00946691816265211,0.111215825975609
"DBNDD2",0.000537071033643434,0.00023573695842209,2.2782640330915,0.0228261657489662,0.174453094855968
"ZC3H15",-0.00300328330052428,0.000922403436525489,-3.25593247119401,0.0011509478205752,0.0362824016711208
"PSKH1",6.19377848462436e-05,0.000272795223597646,0.22704864120934,0.820411391035645,0.933582896249544
"DA880232",0.000373706067720048,0.000255681617826548,1.46160709908198,0.144021347409266,0.429788916640231
"ADORA1",0.00410630506616969,0.00171112376917314,2.39977092256393,0.0165051741177854,0.146894844011028
"LOC285033",0.000269713077164845,0.000245250379642977,1.09974580898704,0.271588173178067,0.584282254953384
"BU853722",0.000247878415607277,0.000316200563436151,0.78392781123975,0.433184366905072,0.72019080662774
"SEMA4G",0.00047524539261397,0.000359079252546773,1.32351114480519,0.185831496409811,0.486447728490094
"N76669",-8.18594733797363e-05,0.000219806505673234,-0.372416062613857,0.709626409262173,0.884500115780724
"PHYH",-0.00228989514376168,0.00126291936151775,-1.8131760534653,0.0699691539781855,0.305174215883376
"CF887442",4.57668358913886e-05,0.000219282919758354,0.208711357646199,0.83469690278812,0.939285311531799
"BF115821",1.79752522169016e-05,0.000249297199687768,0.072103706898492,0.942527289980479,0.979568542667606
"SLC35D2",-0.000195550717894753,0.000566213425759261,-0.345365738427221,0.729859298280744,0.894583339897649
"OR2M5",0.000218059713925929,0.000254847127852165,0.855649093492722,0.392304411912467,0.688937154156895
"ST5",0.0011870244684516,0.00102338190109807,1.15990371451552,0.246239980101521,0.558746236624813
"AA435525",-0.000135597578903,0.000240054937710085,-0.564860611477033,0.57223811365516,0.808915803625487
"SELE",5.99529788237841e-05,0.000983543014495551,0.0609561330213233,0.951400830163816,0.983127843478696
"MORN4",0.00046336257858628,0.000515618410104524,0.898654061813558,0.368955694672961,0.670087794690817
"MLL4",0.00235871665956774,0.000759161310926513,3.10700324900523,0.00191910381859066,0.0481062363213119
"BX100799",-0.000311210703945797,0.000254403474816772,-1.22329580667064,0.221376177810545,0.531279417940093
"FLJ45721",0.000116156913970569,0.00024815129042517,0.468089099079644,0.639776861474493,0.84843260847475
"BQ020957",0.000192898388310755,0.000220058005538886,0.876579735594617,0.380830506178556,0.679891641014598
"ALLC",7.30297389397855e-05,0.000242282716891902,0.301423642084915,0.763125864948685,0.910122817707751
"TCERG1",0.000544742304035926,0.00056403242996262,0.965799615585983,0.334272632650851,0.640538822361097
"BX090629",0.000627919499281348,0.000277123347051908,2.26584842439757,0.0235775544011143,0.177436023979726
"ARRDC3",0.00165194320455674,0.000826547691398783,1.99860603537725,0.0457993436224281,0.246148744021025
"BF590457",0.000191596653602444,0.000213624318518919,0.896885967528437,0.369898256443833,0.671062335831023
"ADAMTS12",-0.000225499907059233,0.000231859545046157,-0.972571161624341,0.330895578055886,0.638337315850506
"SMA4",0.00277609747748177,0.00184023275620784,1.50855779961361,0.131585200021958,0.411824833564742
"SUCLG2",-0.00251545475146799,0.000966043649482148,-2.60387276787794,0.00929257969351305,0.110231996728624
